සෙල්ලිපි අංකය,අක්ෂර පරිවර්තනය,පරිවර්තනය
618,618 [18] උපශක-ශුමනශ ලෙණෙ උපශික-තිශිහය ලෙණෙ,"උපාසක සුමනගේ ලෙණ, උපාසිකා තිසිහාගේ ලෙණ."
619,619 [19] පශණදරිය-ගමශි ගණක-තිශ-පුත ගණක-තිශහ ලෙණෙ,පාසාණද්වාරිය ගමෙහි ගණකාධිකාරී තිස්සගේ පුත් වන ගණකාධිකාරී තිස්සගේ ලෙණ.
620,620 [1] දෙවනපිය-රඣ-අබයශ ශෙනපති පරුමක-මිතශ ලෙණෙ අගත-අනගත-චතු-දිශ-ශගශ දිණෙ (සංකේත අංක 14),දෙවියන්ට ප්‍රිය වූ අභය රජුගේ සේනාපති ප්‍රමුඛ මිත්තගේ ලෙණ පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට දෙන ලදී.
621,621 [2] පිත-මහරඣ බඩකරික පරුමක-ශුමන-පුත පරුමක-චෙමශ ලෙණෙ රඣ-තිශහ රඣියශි නියතෙ අගත-අනගත-චතු-දිශ-ශගශ,"පිත මහරජුගේ භාණ්ඩාගාරික වන ප්‍රමුඛ සුමනගේ පුත් වන ප්‍රමුඛ චෙමගේ ලෙණ, තිස්ස රජුගේ රාජ්‍ය කාලයේ දී පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට පවරන ලදී."
622,622 [3] ගමික-කබොඣහ ලෙණෙ,ගම් ප්‍රධානි කම්බොජගේ ලෙණ.
623,623 [4] ගමික-ශිව-පුත ගමික-කබොඣහ ලෙණෙ,ගම් ප්‍රධානි සිවගේ පුත් වන ගම් ප්‍රධානි කම්බොජගේ ලෙණ.
624,624 [5] (1) පුතන ඝමික-සිවහ ච ඝමිඛ-ශුමනහ ඡ(2) ඝමිඛ-සදනහ ඡ ලෙණෙ සව-සතන යෙසමඝ පති,"ගම් ප්‍රධානි සිවගේ සහ ගම් ප්‍රධානි සුමනගේ ද ගම් ප්‍රධානි සදනගේ ද පුතුන්ගේ [කම්බොජගේ, නම්] ලෙණ. සියලු සත්ත්වයෝ යහමඟට පැමිණෙත්වා."
625,625 [6] (1) ගමික-සිව-පුත ගමික-කබොඣහ ඣිතය උපශික-සුමනය ලෙණෙ(2) ගමික කබොඣහ ච සව-සතස යෙසමගෙ පති,ගම් ප්‍රධානි සිවගේ පුත් වන ගම් ප්‍රධානි කම්බොජගේ භාර්යාව වූ උපාසිකා සුමනාගේ ලෙණ. ගම් ප්‍රධානි කම්බෝජ සහ සියලු සත්ත්වයෝ යහමඟට පැමිණෙත්වා.
626,626 [7] බත-ශිවහ ලෙණෙ ශගශ,ප්‍රධානි සිවගේ ලෙණ සංඝයාට [දෙන ලදී].
627,627 [8] බත-[දෙ]වතිශහ ලෙණෙ ශගශ,ප්‍රධානි දෙවතිස්සගේ ලෙණ සංඝයාට [දෙන ලදී].
628,628 [9] පුශදෙව-තෙරශ මනපදශනෙ,ඵුස්සදේව තෙරුණ්ගේ මනාපදස්සන [නම්] ලෙණ.
629,629 [10] පරුමක-මිත-පුත බඩකරික-දතහ,ප්‍රමුඛ මිතගේ පුත් වන භාණ්ඩාගාරික දත්තගේ
630,630 [11] ගපති-අවිරද-පුත පරුමක-දෙවහ ලෙණෙ,ගෘහපති අරවිදගේ පුත් වන ප්‍රමුඛ දෙවගේ ලෙණ.
631,631 [12] පරුමක-නග-පුත පරුමක-මිලක-පුශහ ලෙණෙ ශගශ,ප්‍රමුඛ නාගගේ පුත් වන ප්‍රමුඛ මිලක්ඛ ඵුස්සගේ ලෙණ සංඝයාට [දෙන ලදී].
632,632 [13] (1) ............ ම දමික-කොඣර-කුලශ(2) කොෂි[ක]මත-ශුම ............ නෙ ලෙණෙ ශගශ,ධම්මික කුංජර පවුලේ සහ කොසිකගේ මව වන ශුම[න]ගේ ලෙණ සංඝයාට [දෙන ලදී].
633,633 [14] බත-ශිවගුතහ,ප්‍රධානි සිවගුත්තගේ
634,634 [15] වඩක-ශොණශ ලෙණෙ ශගශ,වඩු කාර්මික සොණගේ ලෙණ සංඝයාට [දෙන ලදී].
635,635 [16] ශුමන-[තෙ]රශ  [ශ][දි]  [විහරි]ය තිශ ..........,සුමන තෙරුණ්ගේ ශිෂ්‍ය තිස්සගේ ............
636,636 [17] බත-තිශ පශි ප[රු]මක ...............,ප්‍රධානි තිස්ස ............. ප්‍රමුඛ ...............
637,637 [18] බත-චිතගුතහ ලෙණෙ ශගශ දිනෙ,ප්‍රධානි චිත්තගුත්තගේ ලෙණ සංඝයාට [දෙන ලදී].
638,638 [19] ගුතශ ලෙණෙ අග[ත]-අනගත-චතු-දිශ-ශගශ,ගුත්තගේ ලෙණ පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට [දෙන ලදී].
639,639 [20] පරුමක-දෙව-පු[ත ප]රුමක-තිශශ ලෙණෙ ශගශ,ප්‍රමුඛ දෙවගේ පුත් වන ප්‍රමුඛ තිස්සගේ ලෙණ සංඝයාට [දෙන ලදී].
640,640 [21] පරුමක-චෙම-පුත පරුමක-පුශදෙවශ ලෙණෙ අගත-අනගත-චතුදිශ-ශගශ ලෙණෙ,ප්‍රමුඛ චෙමගේ පුත් වන ප්‍රමුඛ ඵුස්සදේවගේ ලෙණ - පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට ලෙණ දෙන ලදී.
641,641 [22] ඉදරකිත-තෙරහ ශදිවිශරිය ශුමනගුතශ ශිතගුහ,ඉන්දරක්ඛිත තෙරුණ්ගේ ශිෂ්‍ය සුමනගුත්තගේ සීතගුහා [ලෙන].
642,642 [23] තොටගමිය ගපති-ඔඣක-තිශ-පුත උපශක-නට-තිශශ දනෙ ශගශ පදිටිතෙ,"තොටගමිහි ගෘහපති ඔඣක තිස්සගේ පුත් වන උපාසක, නළු-තිස්සගේ පරිත්‍යාගය සංඝයාට පිහිටුවී."
643,643 [24] (1) ගහපති-බරත-උතර-මරුමකනක-ශශිරිකහ ශිරිලෙණෙ නම (2) ශගශ,"ගෘහපති, ප්‍රධානි උත්තරගේ මුණුපුරා වන සසිරිකගේ සිරිලෙණ නම් [ලෙන] සංඝයාට [දෙන ලදී]."
644,644 [25] ගමික-මිතපල-පුත ගමික-අනුඩිය ලෙණෙ,ගම් ප්‍රධානි මිත්තපාලගේ පුත් වන ගම් ප්‍රධානි අනුඩිගේ ලෙණ.
645,645 [26]බත-තිශබුතිය ලෙණෙ ශගශ,ප්‍රධානි තිස්සභූතිගේ ලෙණ සංඝයාට [දෙන ලදී].
646,646 [27] (1) ගුතහ මහලෙණෙ(2) අගත-අනගත චතු-දිශ-ශගශ,ගුත්තගේ මහලෙණ පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට [දෙන ලදී].
647,647 [1] පරුමක-වෙලුශුමනශ පුත පරුමක-වෙලුශ පුත පරුමක-පුශදෙවශ ලෙණෙ දෙවනපියශ-රඣ-තිශශ අයකශ ලෙණෙ දෙව-[ඔ]හරණෙ ලෙණෙ ශගශ,ප්‍රමුඛ වෙලුසුමනගේ පුත් වූ ප්‍රමුඛ වෙලුගේ පුත් වන ප්‍රමුඛ ඵුස්සදේවගේ ලෙණ. දෙවියන්ට ප්‍රිය වූ තිස්ස රජුගේ ආදායම් පාලකගේ ලෙණ- දෙවා-ඔහරණ [නම්] ලෙණ සංඝයාට [දෙන ලදී].
647a,647a [2] පෙළ අංක 647 හා සමාන වන නමුත් දෙව-ඔහරණෙ වෙනුවට ලඪකෙ යොදා ඇත.,
648,648 [3] බත-දිනශ ශගශ,ප්‍රධානි දින්නගේ [ලෙන] සංඝයාට [දෙන ලදී].
649,649 [4] බත-දිනහ ලෙණෙ,ප්‍රධානි දින්නගේ ලෙණ.
650,650 [5] පරුමක-වනකගමිය චුලහ ලෙණෙ,ප්‍රමුඛ වනකගමිහි චලුගේ ලෙණ.
651,651 [6] මෙ කණදත-පුත පුශදෙවශ ලෙණෙ,මේ කණ්හදත්තගේ පුත් වන ඵුස්සදේවගේ ලෙණ.
652,652 [7] (1) සුමනගුතශ ව ශුමනදෙවශ ව ලි(ණෙ)(2) ශගශ,සුමනගුත්තගේ සහ සුමනදේවගේ ලෙණ සංඝයාට [දෙන ලදී].
653,653 [8] රෙත-තෙරශ ලෙණෙ,රෙත (රෙවත) තෙරුණ්ගේ ලෙණ.
654,654 [9] පරුමක-පුශදෙවස පුත පරුමක-අබයහ ලෙණෙ,ප්‍රමුඛ ඵුස්සදේවගේ පුත් වන ප්‍රමුඛ අභයගේ ලෙණ.
655,655 [10] පරුමක-පුශදෙව-ඣිත අය-පුශදෙවහ ඣය අබි-අනුරදිය ලෙණෙ,ප්‍රමුඛ ඵුස්සදේවගේ දියණිය වන ඵුස්සදේව කුමරුගේ භාර්යාව වූ අනුරාධි කුමරියගේ ලෙණ.
656,656 [11] බමණ මරුකුට-ගොතමශ ලෙණෙ අගත-අනගත-චතු-දිශ-ශගශ,බ්‍රාහ්මණ මරුකූටහි ගොතමගේ ලෙණ පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට [දෙන ලදී].
657,657 [12] බත-වශහ වඩක-ශුවතිය ලෙණෙ,"ප්‍රධානි වම්සගේ, සුවති වඩුවාගේ ලෙණ."
658,658 [13] පරුමක-චෙම-පුත පරුමක-පුශදෙවහ ලෙණෙ යෙ,ප්‍රමුඛ චෙමගේ (ක්ශේම) පුත් වන ප්‍රමුඛ ඵුස්සදේවගේ ලෙණ මෙයයි.
659,659 [14] ගමික-උතර-පුත ගමික-පුශදෙවහ ලෙණෙ මනපදශනෙ ශගශ,ගම් ප්‍රධානි උත්තරගේ පුත් වන ගම් ප්‍රධානි ඵුස්සදේවගේ මනාපදස්සන නම් ලෙණ සංඝයාට [දෙන ලදී].
660,660 [15] කශකශ ච වනිච-ශිවශ ලෙණෙ,කසකගේ සහ වෙළඳ සිවගේ ලෙණ.
660a,660a [16] පරුමක-මහදත-පුත පරුමක-මණවණ-නගහ ලෙණෙ,ප්‍රමුඛ මහාදත්තගේ පුත් වන ප්‍රමුඛ මණවණ නාගගේ ලෙණ.
660b,660b [17] බත-නුගහ ලෙණෙ ශගශ,ප්‍රධානි නුගගේ ලෙණ සංඝයාට [දෙන ලදී].
660c,660c [18] බත-අගිදෙවශ නොශබ-ලෙණෙ නම,ප්‍රධානි අග්ගිදෙවගේ නොසබ-ලෙණ නම් [ලෙන].
660d,660d [19] බත-රකිය ලෙණෙ,ප්‍රධානි රකිගේ ලෙණ.
661,661 [1] බත-ශොණහ ලෙණෙ චතු-දිශ-ශගශ දිනෙ,ප්‍රධානි සොණගේ ලෙණ සතරදෙස සංඝයාට දෙන ලදී.
662,662 [2] (1) මඩුකශලිය-පුගියන(2) ලෙණෙ ශගශ,මඩුකශලිය ශ්‍රේණි සාමාජිකයින්ගේ ලෙණ සංඝයාට [දෙන ලදී].
663,663 [3] (1) උපශික-තිශය ලෙණෙ(2) පටිබනකුටෙ ශගශ,උපාසිකා තිස්සාගේ පටිභානකූට [නම් ලෙණ] සංඝයාට [දෙන ලදී].
664,664 [4] පරුමක-අබයහ පුත පරුමක-පුශදෙවහ ලෙණෙ අගත-අනගත-චතු-දිශ-ශගශ දිනෙ,ප්‍රමුඛ අභයගේ පුත් වන ප්‍රමුඛ ඵුස්සදේවගේ ලෙණෙ පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට [දෙන ලදී].
665,665 [5] පරුමක-ශෙනපති-අභය-පුත පරුමක-පුශදෙව-පුත පරුමක-අබයහ ලෙණෙ අගත-අනගත-චතු-දිශ-ශගශ දිනෙ,"ප්‍රමුඛ,සේනාපති අභයගේ පුත් වන ප්‍රමුඛ ඵුස්සදේවගේ පුත් වූ ප්‍රමුඛ අභයගේ ලෙණ පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට දෙන ලදී."
666,666 [6] ශයුතක-බණක-තිශ-තෙරහ ශදිවිහරිය ශයුතක-බණක-බත-චුඩිතිශහ මනපදශනෙ අගත-අනගත-චතු-දිශ-ශගශ දිනෙ,සංයුක්ත-[නිකාය] දේශක තිස්ස තෙරුණ්ගේ ශිෂ්‍ය සංයුක්ත-[නිකාය] දේශක චුඩිතිස්සගේ මනාපදස්සන [නම්] ලෙණ පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට [දෙන ලදී].
667,667 [7] පරුමක-නදික-පුත පරුමක-පුශදෙවහ ලෙණෙ,ප්‍රමුඛ නන්දිකගේ පුත් වන ප්‍රමුඛ ඵුස්සදේවගේ ලෙණ.
668,668 [8] පුණ-තෙරහ ශදිවිහරිය බත-ශගරකිතහ ලෙණෙ ශගශ,පුණ්ණ තේරුණ්ගේ ශිෂ්‍ය ප්‍රධානි සංඝරක්ඛිතගේ ලෙණ සංඝයාට [දෙන ලදී].
669,669 [9] පරුමක-අබයහ පුත පරුමක-හදනහ අගත-අනාගත-චතු-දිශ-[ශ]ගශ ලෙණෙ දිනෙ,ප්‍රමුඛ අභයගේ පුත් වන ප්‍රමුඛ හදනගේ ලෙණ පැමිණියාවූත් නොපැමිණියාවූත් සතරදෙස සංඝයාට [දෙන ලදී].
670,670 [10] චුඩ-බුදරකිත-තෙරහ අතෙවශික බත-තිශහ [ලෙණෙ],චූළ-බුද්ධරක්ඛිත තෙරුණ්ගේ අතවැසි වූ ප්‍රධානි තිස්සගේ ලෙණ.
671,671 [11] පරුමක-ශතහ බත-කශබශ ලෙණෙ,ප්‍රමුඛ සාතගේ සහ ප්‍රධානි කස්සපගේ ලෙණ.
672,672 [1] උපශක-වෙ[ලු]ශ ලෙණෙ උපශික-තිශය ලෙනෙ ගමණි-අබයශ රඣශි ශගශ දිනෙ,"උපාසක වී[ලු]ගේ ලෙණ, උපාසිකා තිස්සාගේ ලෙන ගාමණී අභය රජුගේ රාජ්‍ය කාලයේ දී සංඝයාට දෙන ලදී."
673,673 [2] ගණක-රකිය උපශික-තිශය අඝත-අනගත-ශගශ,"ගණකාධිකාරී රකිගේ [ලෙන], සහ උපාසිකා තිස්සාගේ, පැමිණියාවූත් නොපැමිණියාවූත් සංඝයාට [දෙන ලදී]."
674,674 [1] (1) ගමික-යසොපල-පුත ගමික-මලි(2)ගමික-මලි-පුත ගමික-තිශහ ලෙණෙ,ගම් ප්‍රධානි යසොපාලගේ පුත් ගම් ප්‍රධානි මාලින් වෙයි. ගම් ප්‍රධානි මාලින්ගේ පුත් වන ගම් ප්‍රධානි තිස්සගේ ලෙණ.
675,675 [2] උපශක-දතහ ලෙණෙ,උපාසක දත්තගේ ලෙණ.
676,676  [3] ...........ශ පුත වෙඣ-තිශහ ලෙණෙ,".............ගේ පුත් වන වෙද, තිස්සගේ ලෙණ."
677,677 [4] පරුමක-තිශබ පුත [ප]රුමක-නගශ පුත නගශ,ප්‍රමුඛ තිස්සගේ පුත් වූ ප්‍රමුඛ නාගගේ පුත් වන නාගගේ.
678,678 [5] (1) බත-වෙශහ ච බත-පුශහ ච උපශික-ශොණය ච ලෙණෙ,ප්‍රධානි වෙස්සගේ සහ ප්‍රධානි ඵුස්සගේ ද උපාසිකා සොණාගේ ලෙණ. උපාසිකා සොණාගේ ලෙණ.
679,679 [6] ගපති-ගණකශ වෙරුමකන ශිවශ ලෙණෙ ශගශ,"ගෘහපති,ගණකාධිකාරී වෙරුමක හි සිවගේ ලෙණ සංඝයාට [දෙන ලදී]."
680,680 [7] චුඩ-දතහ ලෙණෙ ශගශ,චුලදත්තගේ ලෙණ සංඝයාට [දෙන ලදී].
681,681 [8] උපශක-නදහ ලෙණෙ ශගශ,ගෘහපති නන්දගේ ලෙණ සංඝයාට [දෙන ලදී].
682,682 [9] වශ-තෙරහ ශදිවිහරිය දමගුත-තෙරහ ලෙණෙ,වම්ස තෙරුණ්ගේ ශිෂ්‍ය ධම්මගුත්ත තෙරුණ්ගේ ලෙණ.
683,683 [10] බත-ශුමනහ .......... අ[පු] මහශ ............ නම ............. ශගශ,ප්‍රධානි සුමනගේ .......... නම් ............ සංඝයාට.
684,684 [11] පරුමක-අයිමර-පුත පරුමක-චුඩි-තිශ-පුත පරුමක-චුඩි-තිශහ ලෙණෙ අගත-අනගත (-චතු-දිශ-ශගශ),"ප්‍රමුඛ අයිමරගේ පුත් වන ප්‍රමුඛ චූල-තිස්සගේ පුත් වූ ප්‍රමුඛ චූල-තිස්සගේ ලෙණ පැමිණියාවූත් නොපැමිණියාවූත්, [සතරදෙස සංඝයාට දෙන ලදී]."
685,685 [1] ගපති-ශිවශ ලෙණෙ ශගශ,ගෘහපති සිවගේ ලෙණ සංඝයාට [දෙන ලදී].
686,686 [2] (1) ගමික-චිත-ඣය උපශික අනුරදිය ශුද-(2) -ශනෙ ලෙණෙ ශගය දිනෙ,ගම් ප්‍රධානි  චිත්තගේ භාර්යාව වන උපාසිකා අනුරාධිගේ සුදස්සන [නම්] ලෙණ සංඝයාට දෙන ලදී.
687,687 [1] රකිය චොඩි පනි-චොඩි,රකිගේ හැළිය - පැන් හැළිය.
688,688 [2] කුමර-තෙරහ ලෙණෙ,කුමාර තෙරුණ්ගේ ලෙණ.
689,689 [1] බත-කණගුතශ මහසුදශනෙ ලෙණෙ ශගශ,ප්‍රධානි කණ්හගුත්තගේ මහාසුදස්සන නම් ලෙණ සංඝයාට [දෙන ලදී].
690,690 [2] ගමික-කණ-පුත ගමික-ශදනශ ලෙණනි ශගශ දිනනි,ගම් ප්‍රධානි කණ්හගේ පුත් වන ගම් ප්‍රධානි සදනගේ ලෙණ් සංඝයාට දෙන ලදී.
691,691 [3] කැඩී ගොස් ඇත. ශගශ යන වචනය පමණක් කියවිය හැක.,
692,692 [1] ගපති-රෙතශ ලෙණෙ ය,ගෘහපති රෙතගේ ලෙණ වෙයි.
693,693 [2] උපශක-ශමුදහ ලෙණෙ ශගශ,උපාසක සමුද්දගේ ලෙණ සංඝයාට [දෙන ලදී].
694,694 [3] (1) උපශක-හදනහ ලෙණෙ(2) උපශක ශදනහ ලෙණෙ,උපාසක හදනගේ (සදන) ලෙණ.
695,695 [4] උපශක-කචලිය ලෙණෙ,උපාසක කචලිගේ ලෙණ.
696,696 [5] උපසක-රකිය ලෙණෙ,උපාසක රකිගේ ලෙණ.
696a,696a [6]  තතවය-පුගහ ලෙණෙ,රෙදි වියන්නන්ගේ ශ්‍රේණියෙහි ලෙණ.
697,697 [7] පලදත-තිශහ ලෙණෙ,ඵලදත්ත තිස්සගේ ලෙණ.
698,698 [8] පරුමක-බගු-තිශහ ලෙණෙ ශගශ දිනෙ,ප්‍රමුඛ භාග-තිස්සගේ ලෙණ සංඝයාට දෙන ලදී.
699,699 [9] බත-ශුමනබුතිය ලෙණෙ,ප්‍රධානි සුමනභූතිගේ ලෙණ.
700,700 [10] දෙවරකිතශ ච දමතෙරශ ච ලෙණෙ,දේවරක්ඛිත සහ ධම්ම තෙරුණ්ගේ ලෙණ.
700a,700a [11] උපශක-ශලහ ලෙණෙ,උපාසක සාලගේ ලෙණ.
701,701 [1] බත-ශුරිගුතහ ලෙණෙ,ප්‍රධානි සුරියගුත්තගේ ලෙණ.
702,702 [2] ලෙණෙ ශගශ මතමත-තිශහ ලෙණෙ ශගශ,සංඝයාගේ ලෙණ. මහා-මත්ත තිස්සගේ ලෙණ සංඝයාට [දෙන ලදී].
703,703 මහරඣශ අයක පරුමක-පුශදෙවහ පොකරණි,මහරජුගේ අයකර ගැනීමේ නිලධාරි ප්‍රමුඛ ඵුස්සදේවගේ පොකුණ.
704,704 උපශක-සදතුතහ ලෙණෙ ශගශ දිනෙ,උපාසක සදතුතගේ ලෙණ සංඝයාට දෙන ලදී.
705,705 [1] (a) අබහ (b) ශුරහ (c) බලගුතහ (d) ද ......... ශ (e) ක(ම)චු(ඩ)හ  (f) තිශ-තෙරහ,
706,706 [2] (1) පරුමක නශික උති පරුමකණෙ(2) (අ)නුර(ද)-ගම යශදය ...........,අනුරාධගාමහි ප්‍රමුඛ නාසික උති සහ නායිකා යසදා ...........
707,707 [1] බත-චුදතිශහ ලෙණෙ,ප්‍රධානි චූලතිස්සගේ ලෙණ.
708,708 [2] මඣිම-බණක බත-උපශොණහ ලෙණෙ අගත-අන[ගත] ...........,මජ්ඣිම-[නිකාය] දේශක ප්‍රධානි උපසොණගේ ලෙණ පැමිණියාවූත් නොපැමිණියාවූත් [සතරදෙස සංඝයාට දෙන ලදී].
709,709 පරුමක-ශුමන-පුත පරුමක-තිශහ ලෙණෙ මහසහුදශනෙ නම අගත-අනගත-ශගශ පදිටිතෙ,ප්‍රමුඛ සුමනගේ පුත් වන ප්‍රමුඛ තිස්සගේ මහාසුදස්සන නම් ලෙණ පැමිණියාවූත් නොපැමිණියාවූත් සංඝයා වෙත පිහිටුවී.
710,බත-කුමරදතශ ලෙණෙ ශගශ දිනි,ප්‍රධානි කුමාරදත්තගේ ලෙණ සංඝයාට දෙන ලදී.
711,711 ගපති-කුණික-තිශ-පුත උපශක-යහශිය ලෙණෙ,ගෘහපති කුණිකතිස්සගේ පුත් වන උපාසක යසස්සිගේ ලෙණෙ.
712,712 පරුමක-පුලය-පුත පරුමක-උතර-පුත පරුමක-දතශ කුමි ලෙණෙ ච ශගශ දිනෙ,ප්‍රමුඛ පුලයගේ පුත් වූ ප්‍රමුඛ උත්තරගේ පුත් වන ප්‍රමුඛ දත්තගේ කුඩා දිය පොකුණ සහ ලෙණෙ සංඝයාට දෙන ලදී.
713,713 (1) ශගශ බත-සදනෙන කරිතෙ .... බ ...........(2) සුපදිටෙ,සංඝයාට.ප්‍රධානි ශදන කරවන ලදී............. මනාව කරවන ලද.
714,714 [1] බත-දිනශ ලෙණෙ ශුදශනෙ ශගශ,ප්‍රධානි දින්නගේ ලෙණ. සුදස්සන [නම්] සංඝයාට [දෙන ලදී].
715,715 [2] පුශගුත-තෙරෙන ඛරපිතෙ ලෙණෙ ධශදිශතො ශගශ ඵරිබොගයෙ ධිනෙ,ඵුස්සගුත්ත තෙරුන් විසින් කරවන ලද ලෙණ දසදිසාවෙහි සංඝයාගේ පරිභෝජනය සඳහා [දෙන ලදී].
716,716 [3] මිතගුත-තෙරශ දනෙ අගත-අනගත ශගශ දිනෙ,මිත්තගුත්ත තෙරුණ්ගේ පරිත්‍යාගය පැමිණියාවූත් නොපැමිණියාවූත් සංඝයාට දෙන ලදී.
717,717 [4] බත-දමරකිතෙන කරපිතෙ ශගශ,ප්‍රධානි ධම්මරක්ඛිත කරවන ලද [ලෙන] සංඝයාට [දෙන ලදී].
718,718 [5] බත-නගශ ලෙණෙ ශගශ දිනෙ,ප්‍රධානි නාගගේ ලෙණ සංඝයාට දෙන ලදී.
719,719 [1] ගමික-රෙතහ ලෙණෙ ශගශ,"ගම් ප්‍රධානි රෙතගේ (රේවත) ලෙණ, සංඝයාට [දෙන ලදී]."
720,720 [2] කබර-තිශහ වශහ ලෙණෙ ශගශ,ලෝකුරුකරු තිස්සගේ [සහ] වංසගේ ලෙණ සංඝයාට [දෙන ලදී] .
721,721 [3] (1) සොණ-තෙරහ ලෙණෙ මනපදශනෙ(2) ශගශ,සොණ තෙරුණ්ගේ මනාපදස්සන [නම්] ලෙණ සංඝයාට [දෙන ලදී].
722,722 [4] පරුමක-දතහ ලෙණෙ ශගශ,ප්‍රමුඛ දත්තගේ ලෙණ සංඝයාට [දෙන ලදී].
723,723 පරුමක-දනමිතශ ලෙණෙ,ප්‍රමුඛ ධනමිත්තගේ ලෙණ.
724,724 [1] (1) තිශමහරඣහ-ශෙනපිතිය අගිදතහ බරියය(2) ශෙනපිති-පරුමක-පුශදෙවහ ඣිතය උපශික-නගය ලෙණෙ(3) ශගශ දිනෙ,මහරජ තිස්සගේ සේනාපති අග්ගිදත්තගේ භාර්යාව වන සේනාපති ප්‍රමුඛ ඵුස්සදේවගේ දියණිය වූ උපාසිකා නාගාගේ ලෙණ සංඝයාට දෙන ලදී.
725,725 [2] ශෙනපිති-පරුමක පුශදෙවහ ඣිත නග-ශමණිය මහ-ලෙණෙ ශගශ,සේනාපති ප්‍රමුඛ ඵුස්සදේවගේ දියණිය වන නාගා ශ්‍රමණියගේ මහ ලෙණ සංඝයාට [දෙන ලදී].
726,726 [3] පුගියන ලෙණෙ ශගශ දිනෙ,ශ්‍රේණි සාමාජිකයින්ගේ ලෙණ සංඝයාට දෙන ලදී.
727,727 [4] ගඩිය පුත අගිදතහ පුත ............ හ ........... හ ලෙණෙ ශගශ දිනෙ,ගාධිගේ පුත් වන අග්ගිදත්තගේ පුත් වූ ............. ගේ ලෙණ සංඝයාට දෙන ලදී.
728,728 [5] ශුමනගුතහ ලෙණෙ,සුමනගුත්තගේ ලෙණ.
729,729 [6] ච ලෙ ගණක ........... ච ලෙ තිශහ ච ලෙණෙ,............... සහ ගණකාධිකාරී තිස්සගේ ලෙණ.
730,730 [7] ගමික-තින ලෙණෙ,ගම් ප්‍රධානි තිනගේ ලෙණ.
731,731 [8] බත-පුශහ ලෙණෙ චතු-දි[ශ] ශගශ,ප්‍රධානි ඵුස්සගේ ලෙණසතරදෙස සංඝයාට [දෙන ලදී].
732,732 [9] ශුමන-තෙරහ ච නුගුය-තෙරහ ච ලෙණෙ,සුමන තෙරුණ්ගේ සහ නුගුය තෙරුණ්ගේ ලෙණ.
733,733 [10] ........... පුත ශිවගුතහ ලෙණෙ ශගශ,............. පුත් වන සිවගුත්තගේ ලෙණ සංඝයාට [දෙන ලදී].
734,734 [1] පරුමක-දිනහ ලෙණෙ ශගශ,ප්‍රමුඛ දින්නගේ ලෙණ සංඝයාට [දෙන ලදී].
735,735 [2] පෙළ හා අර්ථය පෙර ලිපිය හා සමාන වෙයි.,
736,736 පරුමක-පුශදෙවශ ඣය පරුමක (ල)- ශොණය ලෙණෙ නගයහ රඣියහි කටෙ ශගශ,ප්‍රමුඛ ඵුස්සදේවගේ භාර්යාව වන නායිකා සොණාගේ ලෙණ නාග කුමරුගේ රාජ්‍ය කාලයෙහි කරවා සංඝයාට [දෙන ලදී].
737,737 [1] ශුමනගුතහ,සුමනගුත්තගේ
738,738 [2] ගමික-ශොණහ ච මිතශ ච ශුමනශ ච ලෙණෙ,ගම් ප්‍රධානි සොණගේ ද මිත්තගේ ද සුමනගේ ද ලෙණ.
739,739 පරුමක-මඣිම-පුතශ පරුමක-ශොණශ ලෙණෙ ශගශ දිනෙ,ප්‍රමුඛ මජ්ඣිමගේ පුත් වන ප්‍රමුඛ සොණගේ ලෙණ සංඝයාට [දෙන ලදී].
740,740 [1] ........... ලෙණෙ ශගශ,............... ලෙණ සංඝයාට [දෙන ලදී].
741,741 [2] ශගශ දිනෙ උපශක-ශුමනශ ලෙණෙ,සංඝයාට දෙන ලද්දේ උපාසක සුමනගේ ලෙණ වෙයි.
741a,741a බත මහදතහ මනපදශනෙ,ප්‍රධානි මහාදත්තගේ මනාපදස්සන (නම් ලෙන).
742,742 [3] බත-තිශගොතශ,ප්‍රධානි තිස්සගොත්තගේ.
743,743 ශගශ ශිශපණෙ,සංඝයාට [දෙන ලද ලෙන] සිංශාඵණ නම්.
744,744 [1] ගමික-වශබ-මරුමකනහ ගමික-ශුමන-පුත අචිරිය-ගුතහ ලෙණෙ,ගම් ප්‍රධානි වසභගේ මුණුපුරා වන ගම් ප්‍රධානි සුමනගේ පුත් වන ආචාර්ය ගුත්තගේ ලෙණ.
745,745 [2] ගමික-වෙලු-ඣිතය උපශික දෙවය ලෙණෙ,ගම් ප්‍රධානි වෙලුගේ දියණිය වන උපාසිකා දෙවාගේ ලෙණ.
